model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp
Decision Tree,0.6000000000000002,0.7156804073518075,0.5751839853517042,0.3509102634059229,0.32126070074252366,0.8291072699608847,0.3354315587325296,0.6417364933102583,0.32604708784614084,0.23489641966631306,126967,26170,29891,14148
Decision Tree,0.6500000000000001,0.7553809794295452,0.5454334803404977,0.3885404486021048,0.165989236812825,0.9248777238681704,0.23260623995672441,0.6417364933102583,0.32604708784614084,0.23489641966631306,141633,11504,36729,7310
Decision Tree,0.7000000000000002,0.771716638941859,0.5222938641537966,0.43309035896025305,0.07150480256136606,0.9730829257462272,0.12274410446306763,0.6417364933102583,0.32604708784614084,0.23489641966631306,149015,4122,40890,3149
Decision Tree,0.7500000000000002,0.7759970787519779,0.5087835473735532,0.4731808731808732,0.025840732078385067,0.9917263626687215,0.049005253638790804,0.6417364933102583,0.32604708784614084,0.23489641966631306,151870,1267,42901,1138
Decision Tree,0.8000000000000002,0.7766513165902544,0.5005095769313783,0.5,0.0014305501941460977,0.9995886036686105,0.0028529378467111966,0.6417364933102583,0.32604708784614084,0.23489641966631306,153074,63,43976,63
Decision Tree,0.8500000000000002,0.7766716030348522,0.5003204240643675,0.5277777777777778,0.0008628715456754241,0.9997779765830597,0.0017229262542223028,0.6417364933102583,0.32604708784614084,0.23489641966631306,153103,34,44001,38
Decision Tree,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6417364933102583,0.32604708784614084,0.23489641966631306,153137,0,44039,0
Random Forest,0.1,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6325772438502381,0.3160343290270671,0.238259357637688,0,153137,0,44039
Random Forest,0.15000000000000002,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6325772438502381,0.3160343290270671,0.238259357637688,0,153137,0,44039
Random Forest,0.20000000000000004,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6325772438502381,0.3160343290270671,0.238259357637688,0,153137,0,44039
Random Forest,0.25000000000000006,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6325772438502381,0.3160343290270671,0.238259357637688,0,153137,0,44039
Random Forest,0.30000000000000004,0.22391670385848175,0.5002120036962163,0.22342228944403278,0.9995685642271623,0.0008554431652703135,0.36521270196834876,0.6325772438502381,0.3160343290270671,0.238259357637688,131,153006,19,44020
Random Forest,0.3500000000000001,0.23930397208585225,0.5064864194506462,0.2256465762789108,0.989373055700629,0.023599783200663457,0.367481539895333,0.6325772438502381,0.3160343290270671,0.238259357637688,3614,149523,468,43571
Random Forest,0.40000000000000013,0.3180052339027062,0.5385983980961966,0.23861192683885588,0.93728286291696,0.1399139332754331,0.38038585060844965,0.6325772438502381,0.3160343290270671,0.238259357637688,21426,131711,2762,41277
Random Forest,0.45000000000000007,0.4594626120826064,0.5839427607069444,0.26626803199043275,0.8089193669247712,0.35896615448911756,0.40065456140449535,0.6325772438502381,0.3160343290270671,0.238259357637688,54971,98166,8415,35624
Random Forest,0.5000000000000001,0.5891437091735302,0.598289403363988,0.2971335762258022,0.6148186834396785,0.5817601232882974,0.4006421875809208,0.6325772438502381,0.3160343290270671,0.238259357637688,89089,64048,16963,27076
Random Forest,0.5500000000000002,0.6857680447924697,0.5798687462344336,0.3281417830290011,0.38847385272145146,0.7712636397474157,0.35576813101117755,0.6325772438502381,0.3160343290270671,0.238259357637688,118109,35028,26931,17108
Random Forest,0.6000000000000002,0.7684099484724307,0.519712094119032,0.3959800281654078,0.07023320238879176,0.9691909858492722,0.11930568948891032,0.6325772438502381,0.3160343290270671,0.238259357637688,148419,4718,40946,3093
Random Forest,0.6500000000000001,0.7766969610905993,0.5006845557925856,0.5294117647058824,0.0018392788210449828,0.9995298327641262,0.0036658218682114408,0.6325772438502381,0.3160343290270671,0.238259357637688,153065,72,43958,81
Random Forest,0.7000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6325772438502381,0.3160343290270671,0.238259357637688,153137,0,44039,0
Random Forest,0.7500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6325772438502381,0.3160343290270671,0.238259357637688,153137,0,44039,0
Random Forest,0.8000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6325772438502381,0.3160343290270671,0.238259357637688,153137,0,44039,0
Random Forest,0.8500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6325772438502381,0.3160343290270671,0.238259357637688,153137,0,44039,0
Random Forest,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6325772438502381,0.3160343290270671,0.238259357637688,153137,0,44039,0
XGBoost,0.1,0.2586521686209275,0.5152380427451588,0.22888253000854733,0.9789731828606463,0.05150290262967147,0.37102090343456595,0.6456177357730007,0.33141873324654214,0.16552945971488953,7887,145250,926,43113
XGBoost,0.15000000000000002,0.42619284294234594,0.5812894037837685,0.2617008069522036,0.8615999455028498,0.30097886206468716,0.4014622095022457,0.6456177357730007,0.33141873324654214,0.16552945971488953,46091,107046,6095,37944
XGBoost,0.20000000000000004,0.5400606564693472,0.6046982153156156,0.2883393829401089,0.7215195622062263,0.48787686842500505,0.4120228995260602,0.6456177357730007,0.33141873324654214,0.16552945971488953,74712,78425,12264,31775
XGBoost,0.25000000000000006,0.6422789791861079,0.6020844893957622,0.3188425615709656,0.5294398147096891,0.6747291640818353,0.3979994196268542,0.6456177357730007,0.33141873324654214,0.16552945971488953,103326,49811,20723,23316
